grid_case;machine;batch_size;size_bus;threads;exapf-gpu_throughput;pf-net_throughput;gns_throughput;canos_throughput;gpu-0DCD_throughput
case_ACTIVSg500;l20;128;500;-1;;4659.9036287940135;3755.798314589178;1959.8458071998402;6092.155725061919
case_ACTIVSg500;l20;256;500;-1;6533.333307387154;4364.806058853623;3846.0406892863425;1796.6491487406936;11323.607712484149
case_ACTIVSg500;l20;512;500;-1;6866.845480848581;4346.352270140866;6362.116491873329;1787.6494191034094;19135.809766180755
case_ACTIVSg500;l20;1024;500;-1;5649.3635775906505;4401.77518498502;8103.933949015495;1750.0439166937622;24766.70552143503
case_ACTIVSg500;l20;2048;500;-1;4780.498751780672;4353.984253590436;8353.936425399992;1747.2160791250255;24810.738712201855
case_ACTIVSg500;l20;4096;500;-1;3442.481742810474;4047.626423303907;7964.547475087968;1763.6226167582684;25684.955228907493
case_ACTIVSg500;l20;8192;500;-1;2177.8614495557517;4047.2054742421083;7743.533998249316;;28597.160352719184
case_ACTIVSg500;l20;16384;500;-1;1398.0741578139148;;7645.744826211228;;27201.424221043268
case_ACTIVSg500;l20;32768;500;-1;;;;;25902.808558997473
case_ACTIVSg500;l20;65536;500;-1;;;;;21235.30174491636
case_ACTIVSg500;t4;1;500;-1;228.2275387897002;297.9644396331936;17.6401588994833;40.1578997077887;452.8184711633851
case_ACTIVSg500;t4;2;500;-1;;460.3512204942713;34.199916244173465;66.70985010128491;808.5807612754528
case_ACTIVSg500;t4;4;500;-1;;732.1727172622096;69.43278406707788;146.05007441202537;1238.93348020879
case_ACTIVSg500;t4;8;500;-1;;752.9012734201059;135.67952866305248;288.30128314131633;1686.5318546502638
case_ACTIVSg500;t4;16;500;-1;521.828204107467;780.870257311563;255.35473631046895;368.4798624925291;557.1651332943297
case_ACTIVSg500;t4;32;500;-1;;807.7034077658589;476.1230974415421;389.8691829869815;1077.9584197156187
case_ACTIVSg500;t4;64;500;-1;;822.8381262705021;852.7872850226669;404.7881813986328;1961.7019968023214
case_ACTIVSg500;t4;128;500;-1;;818.3082871317366;1325.727616647464;413.1597032399913;3494.1006771344614
case_ACTIVSg500;t4;256;500;-1;1559.2580012016224;807.0142329151352;1783.9388502423765;415.7713590272316;5771.663487888158
case_ACTIVSg500;t4;512;500;-1;1435.914589963929;762.1962783837912;2054.747293716253;415.3203945036487;6051.7579505928825
case_ACTIVSg500;t4;1024;500;-1;779.2010337311605;738.6195857284129;2108.655605771768;414.7888116890995;6826.715772902545
case_ACTIVSg500;t4;2048;500;-1;1144.932228698284;712.3631168179041;2108.681392925826;;6856.449893937343
case_ACTIVSg500;t4;4096;500;-1;838.1817923042389;;2113.543950060391;;7258.7338154363115
case_ACTIVSg500;t4;8192;500;-1;;;2096.7856445105226;;7311.29747913821
case_ACTIVSg500;t4;16384;500;-1;;;2112.3368381500613;;7237.549608354874
case_ACTIVSg500;t4;32768;500;-1;;;;;7090.192973093341
case_ACTIVSg500;t4;65536;500;-1;;;;;
case_ACTIVSg500;rtx6k;1;500;-1;188.74498440432635;1238.7279787097984;43.26056309320454;133.2925916071406;575.2615649202071
case_ACTIVSg500;rtx6k;2;500;-1;;2334.7770334557017;85.18922187302294;258.3568195406066;1141.1365983482954
case_ACTIVSg500;rtx6k;4;500;-1;;4788.939590523592;173.20542183160507;515.210636991933;2184.0947103091335
case_ACTIVSg500;rtx6k;8;500;-1;;8128.523199417149;329.56122023915117;957.1992113741682;3895.0850676052028
case_ACTIVSg500;rtx6k;16;500;-1;665.8789550558851;11594.026316689791;613.5474132840424;1925.9888943921744;638.3542433468601
case_ACTIVSg500;rtx6k;32;500;-1;;13561.06247210496;1243.18440238029;3599.371086403467;1270.7840028052024
case_ACTIVSg500;rtx6k;64;500;-1;;12333.132660143221;2481.170997438746;4218.015365876811;2525.985847614699
case_ACTIVSg500;rtx6k;128;500;-1;;10324.61129489067;4730.1059104951055;4394.531738603837;4974.4876143913925
case_ACTIVSg500;rtx6k;256;500;-1;7361.471167008129;9025.393776238154;7784.996452574121;4108.279010587596;9642.417098028269
case_ACTIVSg500;rtx6k;512;500;-1;8346.15307165661;9133.938851009145;12198.450813071939;3967.9285378106297;18939.263395706563
case_ACTIVSg500;rtx6k;1024;500;-1;7551.521798053254;9290.16364066854;16560.35505851888;4026.460924743381;32212.39476448725
case_ACTIVSg500;rtx6k;2048;500;-1;5550.874634535474;9336.353856566247;17822.68815353927;4029.9183855986894;45669.7817758444
case_ACTIVSg500;rtx6k;4096;500;-1;4335.498621168809;9395.902734507863;17163.01346222607;4022.26877029306;45673.49244106599
case_ACTIVSg500;rtx6k;8192;500;-1;2837.398796538532;9450.009197313271;16585.418290194833;4024.665094658302;46790.14880065067
case_ACTIVSg500;rtx6k;16384;500;-1;1798.5505909787285;9467.509243950524;16247.836036888735;;49823.31455696074
case_ACTIVSg500;rtx6k;32768;500;-1;;;;;48124.62240452242
case_ACTIVSg500;rtx6k;65536;500;-1;;;;;46035.79046347519
case1354pegase;l20;1;1354;-1;251.31612226163875;569.712297118418;22.70418649830169;116.46447247155432;464.24125745394196
case1354pegase;l20;2;1354;-1;;442.99860133704414;44.41647409704691;243.0316867386226;843.409298108279
case1354pegase;l20;4;1354;-1;;999.1456718362427;78.95229549129971;491.5467565345727;1479.2295504235008
case1354pegase;l20;8;1354;-1;;1391.1472815181537;178.6967425208943;867.5090981050276;2181.4505066518327
case1354pegase;l20;16;1354;-1;270.2227282086512;1523.276421405776;366.7418130650804;902.066485049809;317.8846469690739
case1354pegase;l20;32;1354;-1;;1539.8835050278365;697.6382903401637;820.8564022607591;629.737476259343
case1354pegase;l20;64;1354;-1;;1437.6630965913987;1067.6548285491529;669.0928806837957;1239.6620192061966
case1354pegase;l20;128;1354;-1;;1429.8732249738316;1760.0647858605168;605.9408201378977;2389.311404624442
case1354pegase;l20;256;1354;-1;2312.3519651667343;1460.1489550718395;2426.9541408431755;589.275089581799;4263.198405438561
case1354pegase;l20;512;1354;-1;2485.3979216215457;1453.7042324397644;2701.764619942865;580.4226819590536;6579.312852225058
case1354pegase;l20;1024;1354;-1;2719.907542002306;1462.6283620736272;2671.9358005434383;581.9746806798915;9651.395974886962
case1354pegase;l20;2048;1354;-1;1965.987771031209;;2612.825681906961;;9580.508562136933
case1354pegase;l20;4096;1354;-1;1439.5074246401105;;2557.4025791892695;;10021.70931711486
case1354pegase;l20;8192;1354;-1;;;2471.803036282412;;11232.438240208967
case1354pegase;l20;16384;1354;-1;;;2462.4862312723403;;10895.800073509316
case1354pegase;l20;32768;1354;-1;;;;;10604.830150363927
case1354pegase;l20;65536;1354;-1;;;;;8994.238553531566
case1354pegase;t4;1;1354;-1;149.83563204284317;;;;337.76426826457555
case1354pegase;t4;2;1354;-1;;;;;540.5812372714175
case1354pegase;t4;4;1354;-1;;;;;738.6109695343321
case1354pegase;t4;8;1354;-1;;;;;899.7473762464942
case1354pegase;t4;16;1354;-1;14.271210220132781;;;;203.10558392406125
case1354pegase;t4;32;1354;-1;;;;;386.11379323178045
case1354pegase;t4;64;1354;-1;;;;;719.9708992587123
case1354pegase;t4;128;1354;-1;;;;;1293.9691764915904
case1354pegase;t4;256;1354;-1;;;;;2041.8638007364939
