grid_case;machine;size_bus;ls_max_throughput;ls_throughput@1;pp_max_throughput;pp_throughput@1;pgm_max_throughput;pgm_throughput@1;olf_max_throughput;olf_throughput@1;powermodels_max_throughput;powermodels_throughput@1;rustpower_max_throughput;rustpower_throughput@1;exapf_max_throughput;exapf_throughput@1;pf-net_max_throughput;gns_max_throughput;canos_max_throughput;gpu-0DCD_max_throughput;exapf-gpu_max_throughput
case2869pegase;l20;2869;11655.832189505645;226.86326492709443;2097.7970663573633;59.473284003034045;;;;;;;;;;;845.9621928649998;1358.0058912496986;422.788630893997;4688.133603995236;1021.0276093749499
case2869pegase;t4;2869;1054.319714187726;119.15565484174827;222.71815974765386;25.5763595358589;;;50.92389057997246;5.563304517253458;;;460.60081999607587;48.462222564013366;;;;;;1129.6046860978115;125.89309826373876
case2869pegase;rtx6k;2869;6805.014428564213;268.5679240208699;1433.5043289318526;57.56467550737606;;;327.841503564867;12.340436152362814;;;5330.47260766166;173.61970193185832;;;1730.0937285011496;2550.7932193042134;666.8354085168609;8938.856183727597;1344.0874410470708
case3120sp;l20;3120;6343.4504388385385;405.4292889158683;2085.2869014711005;62.33578312452119;;;;;50.299631538668216;14.606921257742673;;;;;821.8975080415534;;317.55169185309535;4051.4047589929896;1203.5338349100452
case3120sp;t4;3120;1445.1169089474267;187.7642654076298;230.27829657662582;26.226339349229644;;;70.54271167151266;7.724302462554281;28.738861353729437;6.693952583601272;392.3052769915089;42.92582996475666;155.48668706009403;20.328725453596192;130.2362614640532;;66.04113286987452;981.694412568455;222.41397667596138
case3120sp;rtx6k;3120;9192.160094850648;463.32800393251904;1500.7568771146525;59.7042993017094;;;433.8848218325309;16.327676789979392;36.77667064649452;13.253707230534248;4589.45407029758;158.03748939537817;581.0675252785986;61.225615294087795;2083.786989101755;;652.1313864255773;7940.998885075144;1478.532099520893
case3375wp;l20;3375;6203.932863886056;343.5189828484929;1809.582997607313;57.76886258497469;;;;;;;;;;;687.6717656539404;;266.30177739952387;3772.975109863292;1592.2498304630271
case3375wp;t4;3375;1310.2542617744311;167.5088028268062;211.92215150497321;25.677528670733818;;;;;;;522.5324259987885;57.880632352920074;;;118.30741805251351;;60.12770961623598;924.4904350420403;302.8355426948586
case3375wp;rtx6k;3375;7991.423955169003;407.0701243004166;1314.030838619699;52.44004066822705;;;372.72952263147187;14.223024609633047;;;5696.543505493671;204.00972694704757;;;1854.2133194553367;;601.9348980244216;7420.9018825362855;2040.3185955444633
case6515rte;l20;6515;3574.5734920207815;150.6818756389149;625.3055362635946;36.70710486396785;;;;;;;;;;;324.9086734952342;607.9170792833114;188.08657235671657;1919.5854120408646;411.8873938230346
case6515rte;t4;6515;585.652059522314;85.25660241011015;127.25654094120179;15.810512366168865;;;;;;;135.46290116858174;16.21071098101475;;;55.46742839284678;148.85478436110674;29.821574405753704;407.59259603433253;59.96953734995273
case6515rte;rtx6k;6515;3583.008116955851;191.29210777358497;691.4258779999001;36.22065432552091;;;155.73200310340576;6.012536310253618;;;1650.8210094545575;62.773494453288684;;;858.7720995273096;1208.5401627715103;293.6962780616581;4069.1349409328222;551.1667862575694
case9241pegase;l20;9241;1872.7577745223923;38.742882140905365;487.3543955302097;23.230926775648264;;;;;9.107991944377394;2.6502588442612685;;;;;195.604916477612;394.39732035512924;125.16013236393539;1285.1431283900497;135.0792120498894
case9241pegase;t4;9241;185.500648826901;25.219703105422525;83.97923845242869;9.500336531376096;;;;;5.230370843815219;1.135869171256178;88.12058259948404;10.644509094481243;;;33.1906043508171;90.8783929462799;19.691725256952587;250.7081571701784;27.36766489627423
case9241pegase;rtx6k;9241;1231.5352975316698;55.31981289043128;406.20389697371604;23.487073187380233;;;75.93372329441102;2.9715454031731574;7.580709459523948;2.4222186717816125;1016.188618799837;39.30258868041762;80.95266476678059;7.259962350699638;514.9081522622549;717.6927990693455;190.72182729211195;2472.9005868981226;224.4164149837874
case_ACTIVSg10k;l20;10000;2677.623691190386;69.14584711401672;497.3534552870676;25.159798630981218;;;;;;;;;;;250.74347310689132;377.1724696830963;88.31554394843648;1195.7473930523222;287.0793393873256
case_ACTIVSg10k;t4;10000;327.1451941608206;43.433033394229206;90.64986091444649;11.461407629785473;;;;;;;104.09592076068046;11.940828590104253;;;;;;273.5299807651011;60.04233268159938
case_ACTIVSg10k;rtx6k;10000;2146.9978438010176;104.17792853196221;410.6621606501552;24.48643711878336;;;102.48878094896853;4.242303387363758;;;1185.5732576472556;44.69758787252623;;;604.104219959051;786.2753382741246;202.6377107694697;2276.657203954503;433.11773982375394
case_ACTIVSg25k;l20;25000;885.7626918506742;17.94585978240122;333.4581727728055;10.56077613993542;;;;;6.4107677945595185;1.5705201252974184;;;;;97.07371723821245;;40.14378218866177;423.58225881531433;96.29256469916167
case_ACTIVSg25k;t4;25000;105.49525233066038;12.697097610255966;36.36489289739382;4.5492069046079004;;;;;3.33557228230709;0.707430191169062;33.60058427643764;3.5935737017302127;;;15.479678363900625;;8.051089524569123;81.57429084940574;19.160194858626646
case_ACTIVSg25k;rtx6k;25000;726.8337347962618;32.615844838477166;183.78310636515735;10.207826850858426;;;39.441062676603906;1.6321121697266743;4.814637432383276;1.470367705579156;382.40229928659403;13.53722340224073;90.95606179147677;3.983467966352328;233.24739481692993;;95.61562404194976;775.7536000715177;147.31999658150315
case_ACTIVSg70k;l20;70000;386.40215799863455;4.158316521269724;71.39148488930554;3.175746759215318;;;;;;;;;;;30.043986726068514;54.324521611480876;;89.91782097252533;29.754963719624364
case_ACTIVSg70k;t4;70000;24.1557978664295;2.7015446948417856;10.588095275206603;1.3116699812358785;;;;;;;8.441118958333094;0.8570428811269019;;;5.523043086655442;14.0739586353253;2.907074210468293;21.190134454673213;2.8073357991086807
case_ACTIVSg70k;rtx6k;70000;175.56927343870228;7.287289990505535;61.72375520788168;3.0196262320969782;;;11.667635250683617;0.5080110194602204;;;133.13572778286252;4.7644401858073495;;;68.901678482502;100.11203739905714;35.83201716590645;150.73855378956733;20.975625043203436
