grid_case;machine;size_bus;threads;ls_throughput;ls_percorethroughput;pgm_throughput;pgm_percorethroughput;powermodels_throughput;powermodels_percorethroughput;pp_throughput;pp_percorethroughput;olf_throughput;olf_percorethroughput;exapf_throughput;exapf_percorethroughput;rustpower_throughput;rustpower_percorethroughput
case14;rtx6k;14;16;1535612.9997594708;95975.81248496693;807508.7868020425;50469.29917512766;8285.49063454996;517.8431646593725;2040.5538535970527;127.5346158498158;15041.392550129474;940.0870343830921;196042.7029684335;12252.668935527094;186961.70822429407;11685.10676401838
case14;rtx6k;14;32;2021510.890592022;63172.21533100069;1182399.0851469156;36949.97141084111;9849.963632895984;307.8113635279995;3380.1840998206153;105.63075311939423;22906.13575881858;715.8167424630806;339582.0394913838;10611.938734105745;343315.0185828024;10728.594330712574
case14;rtx6k;14;64;2475713.7126483275;38683.02676013012;1578531.32206088;24664.55190720125;6181.6801244781755;96.58875194497149;4129.493617273541;64.52333776989907;28925.165686263466;451.95571384786666;;;329429.4118508974;5147.334560170272
case14;rtx6k;14;96;;;1679104.4421113275;17490.671271992996;;;4912.037515602358;51.16705745419123;;;;;321429.0997652212;3348.219789221054
case14;rtx6k;14;128;2520555.9534637565;19691.843386435597;1471104.2849527895;11493.002226193668;;;4888.761160691563;38.19344656790284;28420.007029048564;222.0313049144419;;;321094.48910498346;2508.5506961326832
case_ieee30;l20;30;1;71494.02163919694;71494.02163919694;27785.960557756163;27785.960557756163;2444.5169331467014;2444.5169331467014;149.69279619378705;149.69279619378705;;;;;;
case_ieee30;l20;30;2;133159.07340535623;66579.53670267812;55945.432268181554;27972.716134090777;4069.8404572129907;2034.9202286064954;283.78948546059996;141.89474273029998;;;;;;
case_ieee30;l20;30;4;244946.9655341949;61236.741383548724;108551.30420716955;27137.826051792388;6359.144202655411;1589.7860506638528;568.9836445950078;142.24591114875196;;;;;;
case_ieee30;l20;30;8;442626.3592037425;55328.294900467816;208893.6136470566;26111.701705882075;5104.788872948819;638.0986091186023;1079.0914846586986;134.88643558233733;;;;;;
case_ieee30;l20;30;16;738234.655297543;46139.66595609644;402791.4777210093;25174.46735756308;4300.098555209651;268.7561597006032;2140.7261170079796;133.79538231299873;;;;;;
case_ieee30;l20;30;32;1098178.2866995016;34318.071459359424;773976.9047062569;24186.77827207053;5002.255958984721;156.32049871827252;4162.19589582211;130.06862174444095;;;;;;
case_ieee30;l20;30;64;1454434.7250009438;22725.542578139746;1497659.6873805549;23400.93261532117;3970.577394654886;62.040271791482596;7644.522914523091;119.44567053942329;;;;;;
case_ieee30;l20;30;128;1729024.3193564075;13508.002494971934;1980408.6942045556;15471.94292347309;2793.2955013220812;21.82262110407876;11270.423304448212;88.05018206600165;;;;;;
case_ieee30;l20;30;256;1814710.3830798508;7088.712433905667;2221821.713454315;8678.991068180918;2197.884217023534;8.58548522274818;17239.576686391036;67.34209643121498;;;;;;
case_ieee30;l20;30;512;1865706.0757608588;3643.9571792204274;3259125.3262975025;6365.47915292481;;;17048.666501309417;33.298176760369955;;;;;;
case_ieee30;l20;30;1024;1865759.719566342;1822.0309761390058;3012815.9159485623;2942.203042918518;;;9170.42106834816;8.95548932455875;;;;;;
case_ieee30;t4;30;1;28751.233502005798;28751.233502005798;16391.514782347105;16391.514782347105;678.7493733272808;678.7493733272808;61.45174134716856;61.45174134716856;394.9374335960635;394.9374335960635;4491.980882556909;4491.980882556909;4143.696824893703;4143.696824893703
case_ieee30;t4;30;2;52904.0469337291;26452.02346686455;31676.8970601311;15838.44853006555;1308.172028597741;654.0860142988705;120.69729073817463;60.348645369087315;760.9516779485652;380.4758389742826;7392.376597688308;3696.188298844154;3246.6159887416493;1623.3079943708246
case_ieee30;t4;30;4;94698.98041150301;23674.745102875753;60841.10241149524;15210.27560287381;2377.0444066072478;594.2611016518119;232.2642369347714;58.06605923369285;1460.7008966066421;365.17522415166053;12585.748777703493;3146.4371944258733;6442.051646406206;1610.5129116015514
case_ieee30;t4;30;8;157225.60087923976;19653.20010990497;119198.14387660396;14899.767984575496;3802.0146075609614;475.2518259451202;460.7068146618759;57.58835183273449;2663.4173815295017;332.9271726911877;20946.983333160886;2618.3729166451108;12530.111621102877;1566.2639526378596
case_ieee30;t4;30;16;197123.30208067075;12320.206380041922;117496.38018302583;7343.523761439114;3344.4476807309293;209.02798004568308;559.9983062295405;34.99989413934628;3131.971874553795;195.74824215961218;22014.509514867044;1375.9068446791903;18001.73425471717;1125.108390919823
case_ieee30;t4;30;24;168907.51879901395;7037.813283292248;127017.08907937177;5292.37871164049;2145.3886927945796;89.39119553310748;476.54325352911735;19.855968897046555;2778.390269853473;115.7662612438947;20061.869325542557;835.9112218976065;16208.725385281341;675.3635577200558
case_ieee30;t4;30;32;143339.39676328804;4479.356148852751;115665.48861993162;3614.5465193728633;1604.529338293165;50.141541821661406;464.2848530444548;14.508901657639212;2522.8404736390994;78.83876480122186;18487.391470465383;577.7309834520432;14870.044987822723;464.6889058694601
case_ieee30;t4;30;48;122254.68221059092;2546.9725460539776;93355.52075896628;1944.906682478464;1038.9465037170844;21.64471882743926;370.17853226415536;7.712052755503237;2271.421110933506;47.32127314444804;;;11398.723670706479;237.47340980638498
case_ieee30;t4;30;64;115081.03535704895;1798.14117745389;100317.98616160279;1567.4685337750436;961.378535962786;15.021539624418532;377.0931318802289;5.8920801856285765;2240.2538879278995;35.00396699887343;;;11732.187496209699;183.31542962827655
case_ieee30;t4;30;96;120774.75929681506;1258.0704093418235;;;;;;;2232.908409051185;23.25946259428318;;;11318.56846633378;117.90175485764354
case_ieee30;rtx6k;30;1;76297.0678110511;76297.0678110511;29790.65543512618;29790.65543512618;2237.2370079079546;2237.2370079079546;153.2258699747879;153.2258699747879;1210.582163508509;1210.582163508509;13968.066350687588;13968.066350687588;11819.883872970455;11819.883872970455
case_ieee30;rtx6k;30;2;145736.34091806237;72868.17045903119;58293.436906553485;29146.718453276742;3618.076344780457;1809.0381723902285;286.0802468404568;143.0401234202284;2301.078246751076;1150.539123375538;22752.325325568818;11376.162662784409;20904.44769067677;10452.223845338385
case_ieee30;rtx6k;30;4;265081.85361846036;66270.46340461509;115551.90266569881;28887.975666424703;5367.68510195814;1341.921275489535;562.1313448445962;140.53283621114906;4587.153293851084;1146.788323462771;36396.22125765136;9099.05531441284;40765.90033205889;10191.475083014722
case_ieee30;rtx6k;30;8;476472.69410294923;59559.086762868654;222838.396943286;27854.79961791075;3930.5382324277875;491.31727905347344;1031.385297397006;128.92316217462576;8415.006396704764;1051.8757995880956;59575.252797386034;7446.906599673254;81350.71419129409;10168.83927391176
case_ieee30;rtx6k;30;16;793431.1364143178;49589.44602589486;432555.6410212066;27034.727563825414;3599.276832651105;224.95480204069406;2209.784507009645;138.11153168810281;13860.551427919287;866.2844642449554;68660.26617811933;4291.266636132458;155977.79134979495;9748.611959362184
case_ieee30;rtx6k;30;32;1023219.885334798;31975.621416712438;651318.9163407373;20353.71613564804;3455.3093072193788;107.97841585060559;3104.5292464285167;97.01653895089115;19254.092921656254;601.690403801758;80218.51801044271;2506.8286878263348;229621.95598096334;7175.686124405104
